id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
107,唐伯虎点秋香,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,中国香港,1993, 李力持 Lik-Chi Lee, 周星驰 Stephen Chow,8.7,华太师是黄霑，吴镇宇四大才子之一。,喜剧/爱情/古装,
108,超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,美国,2011, 托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,剧情,
109,功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,中国大陆 中国香港,2004, 周星驰 Stephen Chow, 周星驰 Stephen Chow,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,动作/喜剧/犯罪/奇幻,
110,爱在黎明破晓前,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,美国 奥地利 瑞士,1995, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.8,缘分是个连绵词，最美不过一瞬。,剧情/爱情,
111,小森林 冬春篇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,日本,2015, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,剧情,
112,入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.jpg,日本,2008, 泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,剧情,
113,一一,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,中国台湾 日本,2000, 杨德昌 Edward Yang, 吴念真,9.1,我们都曾经是一一。,剧情/爱情/家庭,
114,蝙蝠侠：黑暗骑士崛起,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,美国 英国,2012, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,8.8,诺兰就是保证。,剧情/动作/科幻/犯罪/惊悚,
115,消失的爱人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,美国,2014, 大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck,8.7,年度最佳date movie。,剧情/犯罪/悬疑/惊悚,
116,人生果实,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg,日本,2017, 伏原健之 Kenshi Fushihara, 津端修一 Shûichi Tsubata,9.5,土壤没有落叶不会肥沃，没有了你就不算人生。,纪录片,
117,菊次郎的夏天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,日本,1999, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,剧情/喜剧,
118,无人知晓,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,日本,2004, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira,9.1,我的平常生活就是他人的幸福。,剧情,
119,倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,中国香港,1987, 程小东 Siu-Tung Ching, 张国荣 Leslie Cheung,8.7,两张绝世的脸。 ,爱情/奇幻/武侠/古装,
120,超能陆战队,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,美国,2014, 唐·霍尔 Don Hall, 唐·霍尔 Don Hall,8.7,Balalala~~~,喜剧/动作/科幻/动画/冒险,
121,侧耳倾听,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,日本,1995, 近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna,8.9,少女情怀总是诗。,剧情/爱情/动画,
122,哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,英国 美国,2004, Alfonso Cuarón, 丹尼尔·雷德克里夫 Daniel Radcliffe,8.8,不一样的导演，不一样的哈利·波特。,奇幻/冒险,
